speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,speakerXsessionid,procedural_prob,n,cluster_1_p
4342,430005398,SARGENT,AARON,S,CA,M,R,,voting,18731217,1827-09-28,1827,1873,46,43043421,0.0,40,0.025
6554,430008190,HALE,EUGENE,H,ME,M,R,5.0,voting,18740108,1836-06-09,1836,1874,38,43065540,0.0,10,0.0
5399,430010203,COX,SAMUEL,H,NY,M,D,6.0,voting,18740114,1824-09-30,1824,1874,50,43053990,0.0,9,0.0
4214,430014525,ALBRIGHT,CHARLES,H,PA,M,R,-1.0,voting,18740128,1830-12-13,1830,1874,44,43042140,0.0,10,0.0
3964,430021075,FENTON,REUBEN,S,NY,M,L,,voting,18740216,1819-07-04,1819,1874,55,43039641,0.0,10,0.1
5525,430032853,WHITTHORNE,WASHINGTON,H,TN,M,D,6.0,voting,18740324,1825-04-19,1825,1874,49,43055250,0.0,10,0.7
4342,430079156,SARGENT,AARON,S,CA,M,R,,voting,18741207,1827-09-28,1827,1874,47,43043421,0.0,19,0.0526315789473684
4704,430082889,CHITTENDEN,SIMEON,H,NY,M,I,3.0,voting,18741222,1814-03-29,1814,1874,60,43047040,0.0,10,0.0
4416,430082892,BURLEIGH,JOHN,H,ME,M,R,1.0,voting,18741222,1822-10-09,1822,1874,52,43044160,0.0,10,0.0
4345,430085183,SCOFIELD,GLENNI,H,PA,M,R,-1.0,voting,18750108,1817-03-11,1817,1875,58,43043450,0.0,10,0.0
4315,430100288,MYERS,LEONARD,H,PA,M,R,3.0,voting,18750213,1827-11-13,1827,1875,48,43043150,0.0,9,0.0
4190,440005638,STEVENSON,JOHN,S,KY,M,D,,voting,18760121,1812-05-04,1812,1876,64,44041901,0.0,10,0.0
4869,440005708,JOYCE,CHARLES,H,VT,M,R,1.0,voting,18760121,1830-01-30,1830,1876,46,44048690,0.0,10,0.4
4704,440013158,CHITTENDEN,SIMEON,H,NY,M,I,3.0,voting,18760219,1814-03-29,1814,1876,62,44047040,0.0,10,0.1
4314,440015607,MORTON,OLIVER,S,IN,M,R,,voting,18760229,1823-08-04,1823,1876,53,44043141,0.0,10,0.0
7544,440036765,CANNON,JOSEPH,H,IL,M,R,14.0,voting,18760504,1836-05-07,1836,1876,40,44075440,0.0,10,0.4
7544,440036768,CANNON,JOSEPH,H,IL,M,R,14.0,voting,18760504,1836-05-07,1836,1876,40,44075440,0.0,20,0.5
5325,440037696,REAGAN,JOHN,H,TX,M,D,1.0,voting,18760512,1818-10-08,1818,1876,58,44053250,0.0,10,0.8
7544,440038646,CANNON,JOSEPH,H,IL,M,R,14.0,voting,18760516,1836-05-07,1836,1876,40,44075440,0.0,20,0.5
6200,440039710,DANFORD,LORENZO,H,OH,M,R,16.0,voting,18760520,1829-10-18,1829,1876,47,44062000,0.0,10,0.0
6554,440039883,HALE,EUGENE,H,ME,M,R,5.0,voting,18760522,1836-06-09,1836,1876,40,44065540,0.0,4,0.0
6200,440040262,DANFORD,LORENZO,H,OH,M,R,16.0,voting,18760523,1829-10-18,1829,1876,47,44062000,0.0,10,0.7
4468,440057144,LANE,LA,H,OR,M,D,1.0,voting,18760630,1842-11-12,1842,1876,34,44044680,0.0,10,0.8
4678,440062177,WILLIAMS,JAMES,H,DE,M,D,0.0,voting,18760714,1825-08-04,1825,1876,51,44046780,0.0,50,0.02
4102,440064565,CRAGIN,AARON,S,NH,M,R,,voting,18760719,1821-02-03,1821,1876,55,44041021,0.0,20,0.0
4850,440068867,HARRIS,BENJAMIN,H,MA,M,R,2.0,voting,18760729,1823-11-10,1823,1876,53,44048500,0.0,10,0.0
4671,440068919,WALSH,WILLIAM,H,MD,M,D,6.0,voting,18760729,1828-05-11,1828,1876,48,44046710,0.0,10,0.6
5268,440069262,EDMUNDS,GEORGE,S,VT,M,R,,voting,18760801,1828-02-01,1828,1876,48,44052681,0.0,10,0.1
5268,440072082,EDMUNDS,GEORGE,S,VT,M,R,,voting,18760805,1828-02-01,1828,1876,48,44052681,5.087679983666811e-09,10,0.1
5268,440073030,EDMUNDS,GEORGE,S,VT,M,R,,voting,18760807,1828-02-01,1828,1876,48,44052681,0.0,10,0.0
5268,440073037,EDMUNDS,GEORGE,S,VT,M,R,,voting,18760807,1828-02-01,1828,1876,48,44052681,1.9387940966780816e-15,10,0.1
5268,440073041,EDMUNDS,GEORGE,S,VT,M,R,,voting,18760807,1828-02-01,1828,1876,48,44052681,0.0,10,0.0
5268,440073043,EDMUNDS,GEORGE,S,VT,M,R,,voting,18760807,1828-02-01,1828,1876,48,44052681,0.0,10,0.0
